日期,股號,動作,股數,單價,成交金額,手續費,交易稅,收/支總額,個別損益,報酬率 %,帳戶總損益,庫存餘額,,,,,
3月9日,2330 ,買入,10,1810,18100,25,0,"-18,125",,,"-18,125",2330 (10),,,,,
3月31日,2330 ,買入,10,1770,17700,25,0,"-17,725",,,"-35,850",2330 (20),,,,,
3月31日,2408 ,買入,100,199,19900,28,0,"-19,928",,,"-55,778",2408 (100),,,,,
4月8日,2408 ,賣出,100,220,22000,31,66,21903,1975,9.9%,"-33,875",2408 (0),,,,,
4月24日,2408 ,買入,200,199.5,39900,56,0,"-39,956",,,"-73,831",2408 (200),,,,,
4月27日,2408 ,賣出,200,222.5,44500,63,133,44304,4348,10.9%,"-29,527",2408 (0),,,,,
5月7日,3105 ,買入,100,499,49900,71,0,"-49,971",,,"-79,498",3105 (100),,,,,
5月11日,3105 ,賣出,100,533,53300,75,159,53066,3095,6.2%,"-26,432",3105 (0),,,,,
5月15日,3105 ,買入,100,459.5,45950,65,0,"-46,015",,,"-72,447",3105 (100),,,,,
5月21日,3105,賣出,100,486.5,48650,69,145,"48,436",2421,5.3%,"-24,011",3105 (0),,,,,
6月4日,2408,買入,100,395,39500,56,0,"-39,556",,,"-63,567",2408 (100),,,,,
6月5日,2408,買入,100,360,36000,51,0,"-36,051",,,"-99,618",2408 (200),,,,,
6月5日,2330,買入,10,2360,23600,33,0,"-23,633",,,"-123,251",2330 (30),,,,,
6月8日,2408,買入,100,335,33500,47,0,"-33,547",,,"-156,798",2408 (300),,,,,
6月10日,2330,買入,10,2270,22700,32,0,"-22,732",,,"-179,530",2330 (40),,,,,
6月12日,2408,賣出,300,374,112200,159,336,"111,705",2551,2.3%,"-67,825",2408 (0),,,,,
6月26日,2409,買入,1000,29,29000,41,0,"-29,041",,,"-96,866",2409 (1000),,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
